,NodeNumber,NodeType,X,Y,Demand
0,0,0,27965,31792,0
1,1,0,28469,38752,0
2,2,0,36383,27222,0
3,3,1,29534,32800,6
4,4,1,19984,23720,6
5,5,1,30352,39770,2
6,6,1,32766,33229,7
7,7,1,28425,38684,5
8,8,1,26898,11054,3
9,9,1,26626,10383,6
10,10,1,23085,32020,1
11,11,1,27412,15969,1
12,12,1,33064,34512,1
13,13,1,30292,31928,0
14,14,1,34949,33589,2
15,15,1,31799,18805,9
16,16,1,31877,33737,0
17,17,1,29371,30251,9
18,18,1,20230,25372,4
19,19,1,19570,24544,9
20,20,1,36568,21779,8
21,21,1,26289,15368,2
22,22,1,26947,10852,9
23,23,1,31188,26680,7
24,24,1,37345,21274,6
